name,cost,type,rules,flavor,metatype,name 2,cost2,type2,rules2
Spellslingers Hideout,,Land,"
T: add 2 to your mana pool. Spend this mana only on noncreature spells.",,,,,,
Elite Core of the Archer,4B,Enchantment,"
When ~this~ is put into a graveyard from the battlefield, target opponent sacrifices a Minion and destroy two target nonblack creatures. They can't be regenerated.
3B: regenerate target nonwhite creature","--His test appears more insidiously than even the goose ever never
– Pole, Prophet Guardian",,,,,
Phantom Alligator,WUBRG,Creature - Human Rogue (4/4),"1WUUUU: put a 2/2 blue Faerie creature token with flying onto the battlefield for each basic land type among lands an opponent controls 
Sacrifice a Faerie: gain control of target tapped land until end of turn 
At the beginning of each player's end step, clash with an opponent. If you win, ~this~ can't be blocked except by creatures with both power and toughness X or more, where X is the number of permanents you control on the battlefield until end of turn",,,,,,
Myr Fighter Jet,3,Artifact Creature - Thopter (2/3),"
Flying
4WWW: put a 1/1 Myr artifact creature token onto the battlefield
Sacrifice a Island: put a 1/1 Myr artifact creature token onto the battlefield
Sacrifice three Myr: ~this~ gains flying ",,,,,,
Circle Of Protection Protection,1U,Enchantment,"
All untapped enchantments can't be the target of spells and activated abilities",,,,,,
Helping Hand Vermin,3BB,Creature - Rat Minion (2/1),"
Tap an untapped creature you control: add RG to your mana pool
When ~this~ enters the battlefield, you may search your library for a creature card, reveal it, and put it in your hand. If you do, you shuffle that library afterwards.",,,,,,
Scrapyard Hills,,Land,"
T: add B to your mana pool. Spend this mana only on activated abilities.
R, T, sacrifice ~this~: search your library for a land card and put it into hand, then shuffle your library
T, Sacrifice ~this~: up to three target artifact creatures get +3/+0 until end of turn","--His mint kills even one grass but enlarges the most beautiful passenger
– Call the Conniving",,,,,
Symbiotic Morphcall,GW,Instant,"Spellmorph GGW
target player puts a 1/1 green Elf creature token onto the battlefield for each Insect spell cast this turn",,,,,,
Wanted Cyborg,UUU,Artifact Creature - Human Wizard (2/1),"
When ~this~ is put into a graveyard from the battlefield, draw two cards
2U, T: target untapped artifact can't be the target of activated abilities from a land source (This effect doesn't end)","--Humanity endures the best border yet proves better than the confused alarm
– Kuri",,,,,
The Sphinx,4,Creature - Human Wizard (3/3),"
U: target land is blue until end of turn",,,,,,
Etititesan Elleloth,U,Planeswalker - Etititesan (Loyalty 6),"
+1: target Island can't be the target of Generated spells with converted mana cost 2 or less (This effect doesn't end)
-4: target opponent may put up to four cards from hand onto the battlefield
-9: put four 1/1 blue Wizard creature tokens onto the battlefield
BBR
Instant
Choose one: target white enchantment gains protection from white (This effect doesn't end) and that permanent gains protection from creatures until end of turn; or target creature gets +1/-1 until end of turn and that creature gets +1/+1 until end of turn",,,,,,
Sharpshooter Bottlebot,1G,Artifact Creature - Gnome (3/2),"
R, T:~this~ deals 1 damage to target attacking creature","--Even the jail may imprint
– Radha",,,,,
Survive on Scraps,RGW,Instant,"
draw a card","--A single choir is greater than the best mice
– Traditional",,,,,
Graveyard Goldwasher,GW,Creature - Spirit (2/2),"
Whenever ~this~ deals combat damage to a player, each player may return up to X artifact cards from his or her graveyard to hand, where X is the number of Islands an opponent controls",,,,,,
Suprise Blockers,W,Instant,"
tap up to two target permanents and untap those permanents","--Nature sings more than the hugest winter
– Unknown (not the Urza's Saga one)",,,,,
Looking for Beans,4,Sorcery,"
put three 1/1 green Elf creature tokens onto the battlefield",,,,,,
Call the Dark Gods,4BB,Instant,"
you may search your library for a creature card, reveal it, and put it onto the battlefield under your control. If you do, you shuffle that library afterwards.",,,,,,
Call upon the Ancients,WUBRG,Instant,"
each player puts two 1/1 white Spirit creature tokens onto the battlefield
Splice onto sorcery: X, where X is the number of basic land types among lands you control",,,,,,
Repair Yard,,Land,"
2G, T, sacrifice ~this~: each player may search his or her library for up to two basic land cards and put them into hand. Each player who searched his or her library this way shuffles it.
All artifact creatures get +3/+0","-- When provoked, Her gun made of dreams cares faster than even the elbow ever shall
– Truicha, Cold Merchant",,,,,
Reinforcement Kit,4R,Artifact,"
T, Sacrifice ~this~: put two +1/+1 counters on target creature with total power and toughness 4 or less","--His jar sprints the proper queen yet delights more daintily than the cellar would
– Cecheask the Wizened",,,,,
Just the Windglorfin,2,Creature - Illusion Beast (1/1),"
shroud","--Even the most stalwart swing may sprint to the class
– Druixas Enumieplo, Silver Hermit",,,,,
Flee the Collapsing Library,3W,Instant,"
Choose one: untap target permanent and regenerate that permanent; or ~this~ deals 5 damage to target attacking or blocking artifact creature, or untap target library",,,,,,
Webbed Sylvaneer,(R/G)(R/G)(R/G),Creature - Treefolk Shaman (2/2),"
When ~this~ leaves the battlefield, add one mana of any colour to your mana pool
When ~this~ is put into a graveyard from the battlefield, target player may Discard a card. If that player doesn't, target opponent puts a 1/1 green Elf creature token with first strike onto the battlefield
All enchantments gain '' Threshold - If you have seven or more cards in your graveyard, All creatures get +2/+4''","--Every most awesome city can defeat
But the cobweb blinds better than the fastest girl
– Unattributed (uncomfirmed)",,,,,
Rob the Graveyards,UBR,Sorcery,"
sacrifice any number of lands. you put that many 1/1 white Spirit creature tokens onto the battlefield","--The tray can minimise
– Pen Scuanosi, Fire Merchant, Chief Member of the Jade Villages",,,,,
Myr Enchantress,WUBRG,Creature - Snake Shaman (2/1),"
shroud
T, Pay 4 life: target artifact creature gets +2/+2 until end of turn","--His plantation irritates far hotter than even the number
– Airobea the True",,,,,
"Alene, Hired Bodyguard",1W,Legendary Creature - Angel (1/2),"
Flying
When ~this~ leaves the battlefield, any number of target lands gain ''Pay 1 life: put a money counter on target creature'' and ''Discard a card, Sacrifice ~this~: regenerate target permanent with a money counter on it'' until end of turn",,,,,,
Hammerglen Encampment,,Land,"~this~ enters the battlefield tapped
T: add R or B to your mana pool",,,,,,
Bouncing Pad,3RR,Artifact - Equipment,"
Equip RW
Equipped creature gains flying
When ~this~ leaves the battlefield, each player loses 1 life for each green permanent you control
Whenever a artifact is returned to its owner's hand, target opponent may pay 1. If that player doesn't, flip ~this~.
","--Heavy feel funny
– Heavy Weapons Guy",kami,The Medigun,,Legendary Artifact - Equipment,"Whenever a creature enters the battlefield, you gain 2 life 
Pay 4 life, T: distribute up to three +1/+1 counters on target tapped attacking creature. Activate only once per turn."
Cult Church Guard,3W,Creature - Human Soldier (2/3),"
2WW: put a 1/1 black Cleric creature token with ""this creature can't block"" onto the battlefield",,,,,,
Diehard Ghost,B,Creature - Spirit (1/1),"
Whenever ~this~ is dealt damage, clash with an opponent. If you win, target player loses 3 life
~this~ can't block",,,,,,
Boseijnuh,,Land,"
T: add R to your mana pool
When ~this~ enters the battlefield, add 1 to your mana pool for each poison counter you have
4, T, Sacrifice ~this~: destroy target artifact or enchantment","--Her plastic kills even one cobweb yet dares more effectively than the awesome bird would
– Speakea Iffie Breezemind",,,,,
Why would I do this you ask?,U,Sorcery,"
Buyback 4
target opponent reveals the top two cards of his or her library. that player puts all sorcery cards from among them into hand, and exiles the rest.",--You'll see in 5 turns. ,,,,,
Summers Featherchange,2W,Enchantment,"
All Birds can block an additional creature
2: clash with an opponent. If you win, target attacking creature with power X or less, where X is the number of basic land types among lands an opponent controls gains vigilance (This effect doesn't end)
Whenever a artifact leaves the battlefield, clash with an opponent. If you win, each player gains 1 life","--Even one north sings even one plan yet fights greater than the governor ever ever ever could
– Sespe, Soldier King",,,,,
Poison the Fields,GG,Sorcery,"
an opponent gets 2 poison counters and that player may search his or her library for a land card, reveal it, and put it into its owner's graveyard. If that player does, that player shuffles that library afterwards.","--His forest harms faster than the most skilled brick
For nature fetches stronger than even the rock
– Unattributed (sic)",,,,,
Evolving Commons,,Land,"
3, T, sacrifice ~this~: search your library for a land card and put it into the battlefield, then shuffle your library
",,double,Drain,3BB,Sorcery,target opponent loses 2 life and you gain that much life
Bridgetoll Mage,2UU,Creature - Human Wizard (2/2),"
3UU, Pay 4 life: ~this~ can't be blocked until end of turn
",,double,Assembly Line,GWU,Enchantment,Tap an untapped colourless creature you control: untap up to four target coloured permanents (Lands are colourless)
Spellmorph Looter,BB,Sorcery,"Spellmorph B
draw a card, then discard a card. If this card was flipped face up this turn, instead draw a card and discard two cards.",,,,,,
No Rhyme or Reason,BRR,Instant,"
Choose one: target opponent may return up to four creature cards from his or her graveyard to hand; or destroy all white creatures
","--The best activity may sing
Albeit a single slave can defeat the best year
– Bo (?)",double,Beltsnatcher Drake,2UU,Creature - Drake (3/3),"Flying
At the beginning of each player's end step, attach target Equipment to target colourless creature. Gain control of that Equipment until end of turn"
Army of (the) Banner,4GGG,Legendary Creature - Human Shaman (2/4),"
reach

Morph 2G",,,,,,
Illusionary Combatant,WUB,Creature - Merfolk Scout (3/1),"
When ~this~ enters the battlefield, you may Discard a card. If you do, put a time counter on target permanent
Tap an untapped enchantment you control, Sacrifice a land: return each creature with a time counter on it to its owner's hand
All creatures with persist get -2/-0",,,,,,
Grand Oath of Light,RR,Enchantment,"
3BBBG, Sacrifice a land: any number of target Shamans get +2/+0 until end of turn
Pay 1 life: all lands gain ''4R(B/R): put a 3/3 green Beast creature token onto the battlefield'' and ''Discard a card, sacrifice a Beast: exchange control of target Goblin you control and target permanent of the same type target opponent controls'' until end of turn",,,,,,
Goblin Disciple,UU,Creature - Human Wizard (2/2),"
At the beginning of your upkeep, you may pay 2UU. If you do, untap target red creature and gain control of it until end of turn. It gains haste until end of turn.
T, Sacrifice ~this~: target creature gets -1/-0 until end of turn",,,,,,
Dispel,2GWW,Sorcery - Generated,any number of target creatures with power 3 get +3/+3 until end of turn,,,,,,
Ritual Halo,BB,Enchantment - Aura,"
Enchant permanent
Whenever enchanted permanent is put into a graveyard from the battlefield, Return target creature card from your graveyard to hand
3BBBB: put a 1/1 black Cleric creature token onto the battlefield
1BBB, sacrifice any number of Clerics: each player gets that many poison counters
Sacrifice two Clerics: two target untapped artifacts gain protection from sorcery spells until end of turn","-- When angered, His lock kills even one pickle and forms more destructively than the doll
Though her route surprises the most awesome bait
– Traditional",,,,,
Scavenging Mantis,4G,Creature - Insect (2/2),"
reach
Whenever ~this~ deals combat damage to one or more creatures, search your library for a land card and put it into hand, then shuffle your library",,,,,,
Man of War,WUB,Creature - Human Rogue (3/1),"
Whenever ~this~ enters the battlefield, you may Sacrifice a Sliver. If you don't, return target permanent to its owner's hand","--The bravest kiss guesses more insidiously than the greatest kitten could
Albeit even one bat is greater than the mightiest achieve
– Anonymous (sic)",,,,,
Magecaste Outcast,1UU,Legendary Artifact Creature - Merfolk Wizard (3/1),"
U: tap target Wizard
Whenever an opponent casts a instant or sorcery spell, untap target Wizard","--The fiercest donkey enjoys
Yet her hope collapses the stalwart weather
– TheButt69",,,,,
Dustfought Recruit,W,Creature - Human Soldier (2/1),"
~this~ has to block if able.
At the beginning of your upkeep, you may search your library for a Aura card, reveal it, and put it into your hand. If you do, you shuffle that library afterwards.","--Her dust embiggens even the best wrist
– Chebedi Edi Silvereye",,,,,
Knifeshop Pocketeer,(W/B),Creature - Merfolk Wizard (1/2),"
UB: attach target Equipment to target creature. Gain control of that Equipment until end of turn","--Even the greatest heat can ground a single throat
Whilst his tramp embiggens the whispered flesh
– Irain Crystalmind",,,,,
Poisontip Infiltrator,WUB,Creature - Merfolk Wizard (2/3),"
Ninjutsu X, where X is 5 minus the number of poison counters an opponent has
flying",,,,,,
Feline Subordinator,GWW,Creature - Cat Soldier (1/1),"
Whenever ~this~ deals damage to a player, ~this~ deals 1 damage to target attacking or blocking creature. When a creature damaged this way is put into a graveyard from the battlefield this turn, return it to the battlefield under your control","--Her maid fetches greater than even the most skilled guide shall
– TeveshSzat, the black sage",,,,,
Haunted by Guilt,B,Instant,"
you may search your library for a card, reveal it, and put it into its owner's graveyard. If you do, you shuffle that library afterwards.
Haunt
When the creature this haunts is put into a graveyard from the battlefield, you may search your library for a card, reveal it, and put it into its owner's graveyard. If you do, you shuffle that library afterwards.
Draw a card.","--The kitten chases more insidiously than even the greatest rock
– Folk Song (Trad.)",,,,,
Growthweb Goldweaver,RGW,Creature - Spider (3/1),"
Reach
T: add 2 to your mana pool
Whenever a creature enters the battlefield, target creature with total power and toughness X or more, where X is the number of creatures you control on the battlefield gets +3/+2 until end of turn",,,,,,
Caught Off-Guard,1W,Instant,"
Kicker 4W
If you paid the first kicker cost, two target untapped creatures with total power and toughness X or less, where X is the number of card types among permanents an opponent controls (The card types are artifact, creature, enchantment, instant, land, planeswalker, sorcery and tribal) can't attack or block until end of turn
attach target Equipment to target nonred creature. Gain control of that Equipment (This effect doesn't end)",,,,,,
Bootleg Mountainguide,4GG,Creature - Human Druid (3/2),"
Threshold - If you have seven or more cards in your graveyard, All red creatures gain ''At the beginning of each opponent's upkeep, put a +1/+1 counter on ~this~'' and ''2, remove a +1/+1 counter from ~this~: target white creature gets +3/+4 until end of turn''
Sacrifice ~this~, Tap an untapped Elf you control: all multicoloured creatures get +3/+4 until end of turn","--The aspirational boot may twist
– Jamie7Keller",,,,,
Metamorphic Ritual,3RR,Sorcery,"Spellmorph 4
add 1BG to your mana pool","--Her pencil envies even one soda and begs more destructively than the most awesome monster shall
Whilst her crowd hunts louder than even the wisest town
– Shesom Ecrisia the Vengeful",,,,,
Electrified Miningshaft,,Land,"
1, T: add 2 to your mana pool
~this~ enters the battlefield with three mining counters on it
Remove a mining counter from ~this~: ~this~ deals 3 damage to each of two target players with 1 or less poison counters","--The bravest mice sings
– Unknown (not the Urza's Saga one)",,,,,
Doomed Dissident,U,Creature - Human Scout (1/3),"
Whenever ~this~ is put into a graveyard from the battlefield, you may pay UB. If you do, target creature with shroud gains flying until end of turn",,,,,,
Winggust,2,Tribal Instant - Arcane Bird,"
return target permanent to its owner's hand",,,,,,
Broken Lance,3W,Artifact,"
3: clash with an opponent. If you win, you lose 1 life for each basic land type among lands you control
At the beginning of each opponent's precombat main phase, each player loses 1 life
Pay 3 life: distribute up to one charge counter on target permanent","--His cellar grounds just one camp but writes more than the mightiest cherry
– Ajani Goldmane, the false",,,,,
Presence of Glarbi,UUU,Legendary Enchantment,"
All untapped artifacts can't be the target of activated abilities
Sacrifice a creature with flying, Discard a instant card: until end of turn, if you would draw a card, instead that player draws a card, then discard two cards",,,,,,
Sproutkeep Aparition,3,Creature - Spirit (1/2),"
Tap an untapped library you control: search your library for a basic land card and put it into the battlefield, then shuffle your library",,,,,,
Essence of Searches,2W,Creature - Spirit (1/3),"
T: you reveal cards from the top of your library until you reveal a enchantment card, put that card into hand, and exile the rest.
1WWW: target opponent reveals the top six cards of his or her library. that player puts all Equipment cards from among them into hand, and shuffles the rest into his or her library.
When ~this~ is returned to its owner's hand, regenerate target red creature
When ~this~ is put into a graveyard from the battlefield, search your library for a land card and put it into the battlefield, then shuffle your library","--Even the advice can sprint
But just one earthquake enlarges even the snake
– Thiech, Guardian of the Woods",,,,,
Ghost of the Hundred Handed One,GWU,Creature - Spirit (3/5),"
3WW: ~this~ can block any number of creatures until end of turn","--Her bushes is mightier than even the bucket
– Ucheanoga Spira, Guardian Cleric",,,,,
Presence of Ahkem,4GG,Enchantment,"
At the beginning of your upkeep, each player may search his or her library for a creature card, reveal it, and put it into its owner's graveyard. If those players does, those players shuffles that library afterwards.
At the beginning of your upkeep, target player may return a land card from his or her graveyard to hand",,,,,,
Overgrown Binyard,,Land,"
~this~ enters the battlefield tapped.
Discard a artifact card, T: add GG to your mana pool
1, T, sacrifice ~this~: search your library for a land card and put it into the battlefield, then shuffle your library",,,,,,
Pathmarker Merfolk,2U,Creature - Merfolk Scout (3/2),"
When ~this~ is put into a graveyard from the battlefield, target player may Pay 2 life. If that player does, two target white creatures are enchantments in addition to their other types until end of turn",,,,,,
Seismic Wavesprings,,Land,"
T, exert this: add 2 to your mana pool (this won't untap in your next untap step) 
T: add R to your mana pool",,,,,,
Rogues Backdoorman,B,Creature - Human Wizard (1/2),"
B, Sacrifice ~this~: target attacking creature can't be blocked except by facedown creatures until end of turn
All nontoken unblocked creatures gain deathtouch",,,,,,
Infest the Waters,2BBB,Tribal Instant - Zombie,"Spellmorph 1BB
two target blue creatures get -3/-3 until end of turn",,,,,,
Farewell grounds,,Land,"
T: add R to your mana pool
Discard a card, Sacrifice ~this~, T: add 1W to your mana pool","--Her show walls off a channel yet bounces more effectively than even the kitten ever ever would
Because his haircut confuses stronger than even the fastest kiss will
– Vitenka",,,,,
Dark Cleansing,BBB,Sorcery,"
all white creatures get -3/-4 until end of turn","--Every fastest station may flee
– Fiers",,,,,
Rockthrow Glorfin,3,Creature - Beast (1/2),"
3RG: ~this~ deals 1 damage to target creature for each Beast you control
3, Sacrifice ~this~: destroy all artifacts","--Humanity sings a single rock and explains more swiftly than the best cherry
– Nursery Rhyme (Trad.) (dead)",,,,,
Auramancer Myr,1BGG,Artifact Creature - Myr (2/3),"
enchantment spells cost you 3 less to cast","--Humanity proves better than the whispered channel
Though his grape changes faster than the bravest show could
– Troogiss, Spy Rebel",,,,,
Morphic Rejuvenation,4UU,Instant,"Spellmorph 2U
untap up to one target enchantments",,,,,,
Unstable Bookshelf,GW,Artifact,"
Tap an untapped library you control: ~this~ gains ''2: ~this~ deals 1 damage to target attacking or blocking creature. Creatures damaged this way can't be regenerated this turn'' until end of turn","--Her uncle grounds just one locket and improves better than the fiercest bat will
– Unattributed (not the Urza's Saga one)",,,,,
Unstable Magpie,3,Creature - Bird (3/3),"
Flying
Vanishing 3",,,,,,
Send the Exterimator,2BB,Sorcery,"Spellmorph 3BB
destroy all Beasts","--Asta La Vista, Beasty.",,,,,
Bookburning Visions,RRR,Enchantment,"
If you would draw a card, you may Tap an untapped library you control. If you do, instead Scry 3, then draw a card. ",,,,,,
Undercity Keepsake,BG,Creature - Dragon (2/1),"
Flying
All Clerics get +1/+0","-- When angered, His game rallies a single kiss but delights stronger than the kite never
– Showell Fleethand",,,,,
Slingerlance Samurai,4R,Creature - Dwarf Samurai (2/3),"
bushido X, where X is the number of instant or sorcery spells in your graveyard.
Whenever ~this~ enters the battlefield, draw three cards, then discard three cards",,,,,,
Fight for Bookrights,R,Sorcery - Generated,"
clash with an opponent. If you win, target player reveals the top X cards of his or her library, where X is the number of creatures on the battlefield. that player puts all sorcery cards from among them into hand, and exiles the rest.","--Nature divides faster than the most beautiful pest never
– Enderia Keenmind",,,,,
Glorfin Commandeer,R,Creature - Beast (1/2),"
BR, Tap an untapped Library you control: ~this~ deals 1 damage to target creature for each poison counter an opponent has. When a creature damaged this way is put into a graveyard from the battlefield this turn, return it to the battlefield under your control","--Nature commands more destructively than the best boy
– Nursery Rhyme (Trad.)",,,,,
Dim Apparition,B,Creature - Spirit (2/1),"Tap an untapped Library you control, regenerate ~this~",,,,,,
Tithe Battery,(G/W)(G/W),Artifact,"3, Pay 1 life: clash with an opponent. If you win, put a charge counter on target land
activated abilities that aren't mana abilities cost any player 1 more to cast",,,,,,
Persistent Toolhandle,2RWW,Artifact,"


All blocking equipped creatures gain persist
All untapped enchantments gain protection from untapped multicoloured creatures",,,,,,
Groundfamiliar Serpent,RG,Creature - Snake Shaman (1/3),"
When ~this~ is put into a graveyard from the battlefield, you may Pay 2 life. If you do, clash with an opponent. If you win, you reveal cards from the top of your library until you reveal a land card, put that card into hand, and shuffle the rest into your library.
1: regenerate all blue creatures
All untapped lands are 4/3 creatures in addition to their other types (attacking creatures are removed from combat when they stop being creatures, keyword 'untapped', you get it.)","--Every confused pen can sing
– Guirosh, King of the Shimmering Deep",,,,,
Mudscavenger Myr,2B,Artifact Creature - Myr (1/3),"
3UB: draw four cards
Tap an untapped Library you control: ~this~ can block an additional creature (this effect doesn't end)","-- When angered, Her route made of iron collapses the grandest fifth
For her castle harasses faster than even the most stalwart year
– Traditional",,,,,
Schematic Analyser,1U,Creature - Human Wizard (1/2),"
Whenever a artifact enters the battlefield, all creatures with shroud get -3/-0 until end of turn
Tap an untapped Library you control: ~this~ gets +1/+1 until end of turn.","--His suit endures the proper cobweb yet surprises even the recess
– Smosut Cruelheart",,,,,
Omnipoless,1GGGG,Enchantment,"
creature spells cost you up to 2 less to cast",,,,,,
Dig through Toxic Dirts,2B,Sorcery,"
Choose one: Return target creature card from your graveyard to hand; or each player loses 1 life for each basic land type among lands you control and untap target Library",,,,,,
Monocle Bird,U,Creature - Bird Wizard (1/1),"
Flying
4, Discard a card: untap target black creature or Library
4WUB, Sacrifice ~this~: two target lands are black until end of turn",,,,,,
Finned Glorfin,RG,Creature - Beast (2/1),"

When ~this~ is put into a graveyard from the battlefield, target Merfolk gains ''All creatures with power 3 or less can't be blocked by more than one creature'' until end of turn",,,,,,
Moving Radar,GU,Artifact,"Spellmorph GU
Tap an untapped permanent you control, Sacrifice ~this~: target tapped Thopter can't be blocked except by Thopters (This effect doesn't end)",,,,,,
Defend the Ritual,2,Instant,"
put a 1/1 black Cleric creature token onto the battlefield",,,,,,
Bloated Elkbeetle,4G,Creature - Insect (1/3),"When ~this~ is put into a graveyard from the battlefield, you may return two creature cards from your graveyard to the battlefield","--The fiercest suit forces
– Idoth, Guardian of the Royal River",,,,,
Do some Convincing,1BB,Sorcery,"
untap target creature and gain control of it until end of turn. It gains haste until end of turn.","--Nature may catch even the greatest girl
– Dacian, the true",,,,,
Apostle of Heights,WUBRG,Creature - Bird Cleric (5/5),"
Flying
Sacrifice a green creature, Pay 4 life: regenerate any number of target creatures with power 4 or more
2W: each player may return two enchantment cards from his or her graveyard to hand","--The toad may burn
– Thaukoche Gaisha, Knight of the Tomb",,,,,
Battlefield Caretaker,WW,Creature - Human Cleric (1/3),"
All tapped creatures get +0/+1","--Humanity enlightens the most aspirational beginner
– Unknown",,,,,
Mercys Mansion,,Land,"~this~ enters the battlefield with six depletion counters on it
Remove a depletion counter from ~this~: each player gains 4 life","--A single underwear walls off the able yet enlarges even the stalwart bread
– 4chan",,,,,
Wirewood Underbrush,,Land,"
~this~ enters the battlefield tapped.
T: add G to your mana pool
T: add 2 to your mana pool. Spend this mana only on activated abilities.","--Nature surprises the most skilled sister
– Sheich, Lord of the Unholy Wilderness",,,,,
Morphic Waterfield,U,Enchantment - Aura,"
Spellmorph U
Enchant enchantment
Sacrifice ~this~: gain control of target land until end of turn
Whenever enchanted enchantment is put into a graveyard from the battlefield, the next time a equipped creature would deal damage this turn, prevent 3 of that damage","--His cemetery walls off a activity and transcends the fastest beginner
– Elucinia, Harsh Warrior, Elect Rebel of the Cult of the Empty Mountain",,,,,
Learn from the Past,GG,Sorcery,"
Choose one: put two +1/+1 counters on up to two target creatures; or add 2 to your mana pool
Entwine: Tap an untapped Library you control",,,,,,
Cheer for Victors,W,Sorcery,"
clash with an opponent. If you win, all Spirits get +1/+1 until end of turn and untap target Library",,,,,,
Bandaged Infantry,2W,Creature - Human Archer (3/2),"Reach
Sacrifice ~this~: you gain 1 life",,,,,,
Steal the Presence,RR,Sorcery,"
target artifact creature gets +3/-1 until end of turn and attach an Aura in play to that creature. Gain control of that Aura until end of turn","--Even the fiercest stream delights better than the whispered morning
– Unknown",,,,,
Faerie Grandmother,3UU,Creature - Faerie Rogue (1/1),"
Flying
3UU: put a 1/1 blue Faerie creature token with flying onto the battlefield
Sacrifice two Faeries: Untap target Library",--Now sit down you little shits I'll tell you a story about two unfortunate kids just like you,,,,,
Choking Smoke Firestorm,5UR,Sorcery,"
target opponent gets 3 poison counters and ~this~ deals 7 damage to each creature and player",,,,,,
Morphic Gravity Field,,Legendary Land,"Morph 5 
T: Add 1 to your mana pool.
All creatures with flying get -3/-0
Sacrifice a creature: destroy ~this~, activate this only any time you could cast a sorcery. Any player may activate this ability",,,,,,
Stalwart Leader,2W,Creature - Human Knight (2/3),"
Whenever ~this~ becomes blocked, you may Sacrifice ~this~. If you do, regenerate all creatures with total power and toughness 2 or less","--The dress sings
– Wiogaiposh, Rebel Cleric",,,,,
Deconstructive Instruction,1RR,Instant,"
destroy target artifact. It can't be regenerated.
Put two Charge counters on target permanent. It gains 'Remove a charge counter from ~this~: Untap target Library' (this effect doesn't end)","--Nature burns even the fiercest title but accepts stronger than even the confused army
– Nursery Rhyme (Trad.)",,,,,
Cutthrough Lance,2W,Artifact - Equipment,"Equip 3
3, Pay 3 life: put a charge counter on ~this~
Remove a charge counter from ~this~: Choose one: draw a card or equipped creature gains vigilance until end of turn
Equipped creature gains protection from instant spells
All untapped attacking creatures can't be blocked except by Myr",,,,,,
Wretched Stench,1UU,Sorcery - Arcane,"
target Zombie can't be blocked until end of turn and untap target Library","--Her boy may catch the fastest route
– Lysh Iokesprea Firetongue, Head Member of the Diamond City",,,,,
Bookkeepers Mercy,W,Instant,"
target player gains 4 life. Untap target Library.",,,,,,
Battlefield Groundshaker,5R,Creature - Giant Warrior (2/1),"
At the beginning of your precombat main phase, create a 0/1 green Plant creature token with 'At the beginning of your upkeep, sacrifice this creature'
Creatures without summoning sickness can't block",,,,,,
Binding Stone,W,Artifact,"
When ~this~ leaves the battlefield, draw a card and ~this~ deals 3 damage to each player
Imprint � When ~this~ enters the battlefield, exile a instant card in your hand. (The exiled card is imprinted on this artifact.)
T: tap target creature of any of the imprinted card's colours",,,,,,
Call for Help,3WW,Tribal Instant - Soldier,"
target player puts three 1/1 white Soldier creature tokens onto the battlefield
Splice onto Arcane or Generated: GW
",,double,Burning Lights,WUBRG,Sorcery,"~this~ deals 1 damage to target creature for each creature on the battlefield. If a creature damaged this way would be put into a graveyard this turn, exile it instead"
Finned Slipoiler,2U,Creature - Merfolk Rogue (3/1),"
4U: target artifact creature can't be blocked until end of turn","--Nature hates better than even the confused fang
– Igith Ikroolyn, Prophet of the Sapphire Wasteland",,,,,
Lesson on Destruction,G,Instant - Generated,"
Choose one: destroy target land or tap or untap target Library",,,,,,
Wakeupcall,4GG,Instant - Generated,"Spellmorph 3W
untap any number of target white creatures",,,,,,
Burning Trashpit,,Land,"
R, Sacrifice ~this~, T: add 3B to your mana pool
T: add B to your mana pool
All multicoloured enchantments gain protection from white",,,,,,
Ascended Painter ,U,Creature - Moonfolk Wizard (1/2),"
Flying
2U: change the text of target with converted mana cost X or more, where X is the number of poison counters you have spell or permanent by replacing all instances of one basic land type with another. (This effect doesn't end)
Whenever a artifact leaves the battlefield, you may pay 1. If you do, draw a card
",,double,Stomp Crops,RG,Instant,destroy target land
Bramble Armor,2G,Artifact - Equipment,"
Equip X green mana, where X is the number of basic land types among lands you control
Equipped creature has +0/+1
Whenever the equipped creature deals combat damage to a player, choose one: Untap target creature or Library.",,,,,,
Very Slow Zombie,1BB,Creature - Zombie (3/2),"Suspend 3 - 1
All artifacts gain protection from white",,,,,,
Horsemens Deathswamp,,Land,"
~this~ enters the battlefield tapped.
Sacrifice a untapped creature with banding, T: add three mana of any one colour to your mana pool
T: add B to your mana pool
T: add B to your mana pool
",,double,Parting Spirit,W,Artifact Creature - Spirit (1/1),"When ~this~ leaves the battlefield, draw a card 
All permanents you control are black"
"Larken, Toxic Touch Embodiment",BBB,Legendary Creature - Horror (3/3),"
3BB, Tap an untapped artifact you control: ~this~ gains poisonous 7 until end of turn
 (if this deals combat damage to a player, that player gets 7 poison counters)",,,,,,
Kill it Dead,BG,Instant,"
Choose one: ~this~ deals 1 damage to target creature for each land on the battlefield; or ~this~ deals 1 damage to target creature or player and ~this~ deals 4 damage to that creature. Creatures damaged this way can't be regenerated this turn. If a creature damaged this way would be put into a graveyard this turn, exile it instead","-- When sleepy, Her toothpaste fails more insidiously than the stalwart beggar
But humanity gathers more beautifully than the fastest kite
– Unknown",,,,,
Goblin Watercrew,1R,Creature - Goblin Shaman (2/1),"All Goblins have T: add U to your mana pool
All green enchantments gain ''Whenever a permanent becomes the target of a sorcery spell, all nonred creatures get +1/-2 until end of turn''","--His army made of solid twists a single stranger and fights more daintily than even the grandest pencil
– 6imieklach Ainfofa Hardheart",,,,,
